date,description,amount,category
2025-09-29,APPLE.COM/US ONE APPLE PARK WAY 800-676-2775 95014 CA USA,-384.60,
2025-10-01,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-16.52,
2025-10-03,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA (RETURN),6.60,
2025-10-03,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-22.01,
2025-10-07,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA,-9.99,
2025-10-13,APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA (RETURN),0.40,
2025-10-18,APPLE.COM/BILL ONE APPLE PARK WAY CUPERTINO 95014 CA USA,-15.06,
2025-10-21,APPLE.COM/BILL ONE APPLE PARK WAY CUPERTINO 95014 CA USA,-22.03,
2025-10-28,APPLE.COM/BILL ONE APPLE PARK CUPERTINO 95014 CA USA,-42.96,
2025-10-29,APPLE.COM/BILL ONE APPLE PARK WAY CUPERTINO 95014 CA USA,-14.31,
2025-10-31,ACH Deposit Internet transfer from account ending in 4983,920.35,
