date,description,amount,category
2025-11-03,ALASKA AIR 0272122272705SEATTLE WA,-11.20,
2025-11-04,REI.COM 800-426-4840 800-426-4840 WA,-187.34,
2025-11-05,ALASKA AIR SEATTLE WA,-35.00,
2025-11-09,ALASKA AIR SEATTLE WA,-35.00,
2025-11-10,REI #116 ISSAQUAH ISSAQUAH WA,187.34,
2025-11-10,TESLA SUPERCHARGER US 877-7983752 CA,-11.36,
2025-11-11,TESLA SUPERCHARGER US 877-7983752 CA,-12.02,
2025-11-17,TESLA SUPERCHARGER US 877-7983752 CA,-15.82,
2025-11-18,ALASKA AIR SEATTLE WA,-35.00,
2025-11-22,TESLA SUPERCHARGER US 877-7983752 CA,-5.14,
2025-11-23,FUNKY 45TH ST LLC SEATTLE WA,-16.00,
2025-11-24,TESLA SUPERCHARGER US 877-7983752 CA,-8.46,
2025-11-25,ALASKA AIR SEATTLE WA,-35.00,
2025-11-25,LATE FEE FOR PAYMENT DUE,-29.00,
2025-11-28,COMCAST / XFINITY 800-266-2278 WA,-48.35,
2025-11-28,INTEREST CHARGED ON PURCHASES,-10.80,
