date,description,amount,category
2025-09-26,PUGET SOUND ENERGY INC 888-225-5773 WA,-172.31,
2025-09-26,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM CA,-22.04,
2025-09-28,ADOBE *800-833-6687 ADOBE.LY/ENUS CA,-11.99,
2025-09-29,GOOGLE *FI W2KP8v g.co/helppay# CA,-95.64,
2025-10-03,MED*SWEDISH MEDICAL GROUP 888-294-9333 WA,-71.09,
2025-10-03,QFC #5840 SAMMAMISH WA,-21.06,
2025-10-03,MED*MULTICARE HEALTH SYS 800-919-1936 WA,-15.94,
2025-10-04,ARENA SPORTS ISSAQUAH IASSAQUAH WA,-1.60,
2025-10-05,WEEE INC. 5105734967 CA,-45.70,
2025-10-05,QFC #5824 ISSAQUAH WA,-48.18,
2025-10-06,LABORATORY CORPORATION OF 800-222-7566 NC,-28.45,
2025-10-06,ADVANTAGE PHYSICAL THERA REDMOND WA,-17.85,
2025-10-07,QFC #5824 ISSAQUAH WA,-7.99,
2025-10-07,DELLINO LAW GROUP 206-6596839 WA,-535.00,
2025-10-08,QFC #5824 ISSAQUAH WA,-22.83,
2025-10-09,REMLINGER FARM LLC CARNATION WA,-100.00,
2025-10-10,AUTOMATIC PAYMENT - THANK YOU,2458.98,
2025-10-10,QFC #5840 SAMMAMISH WA,-19.40,
2025-10-10,2451 GREAT CLIPS KLAHANIE ISSAQUAH WA,-32.00,
2025-10-11,SAMMAMISH COMMUNITY YMCA SAMMAMISH WA,-91.00,
2025-10-12,QFC #5840 SAMMAMISH WA,-29.95,
2025-10-12,SQ *MAEVE LI - SUITE 354 Issaquah WA,-138.00,
