date,description,amount,category
2024-05-06,Amazon.com*182QX37G3 Amzn.com/bill WA,-9.76,
2024-05-06,AMZN Mktp US*OM5XB94K3 Amzn.com/bill WA,-15.86,
2024-05-07,Amazon.com*380A46XX3 Amzn.com/bill WA,-77.91,
2024-05-07,AMZN Mktp US*7Q83K30M3 Amzn.com/bill WA,-71.61,
2024-05-08,Amazon Tips*LB6BD44E3 Amzn.com/bill WA,-5.00,
2024-05-09,AMZN Mktp US*HJ2UW0QT3 Amzn.com/bill WA,-18.72,
2024-05-09,Amazon.com*A76H89WT3 Amzn.com/bill WA,-136.58,
2024-05-09,AMZN Mktp US*Y17T11F63 Amzn.com/bill WA,-62.81,
2024-05-09,Amazon.com*V82JN5JW3 Amzn.com/bill WA,-30.83,
2024-05-10,AMZN Mktp US*FU3GK9BU3 Amzn.com/bill WA,-33.05,
2024-05-10,Amazon.com*7V62Q4IR3 Amzn.com/bill WA,-15.42,
2024-05-10,AMZN Mktp US*9861B9UH3 Amzn.com/bill WA,-24.96,
2024-05-11,Amazon Music*SB67F6073 888-802-3080 WA,-18.72,
2024-05-12,AMZN Mktp US*3Y4196T03 Amzn.com/bill WA,-25.00,
2024-05-12,AMZN Mktp US*NN8SK5BQ3 Amzn.com/bill WA,-22.03,
2024-05-12,AMZN Mktp US*WM6KO8953 Amzn.com/bill WA,-28.98,
2024-05-14,AMZN Mktp US*3Y0TR6GP3 Amzn.com/bill WA,-148.71,
2024-05-15,Amazon.com*563KM1BD3 Amzn.com/bill WA,-11.90,
2024-05-15,AMZN Mktp US*PI76T2VX3 Amzn.com/bill WA,-28.64,
2024-05-17,Amazon.com*LV9W946L3 Amzn.com/bill WA,-27.54,
2024-05-17,AMZN Mktp US*U27MW2NQ3 Amzn.com/bill WA,-340.49,
2024-05-17,AMZN Mktp US*EG6BP4GA3 Amzn.com/bill WA,-16.52,
2024-05-17,AMZN Mktp US*2J8SX8G23 Amzn.com/bill WA,-44.07,
2024-05-22,AMZN Mktp US*6V5N776T3 Amzn.com/bill WA,-38.56,
2024-05-24,AMZN Mktp US*GL2H58LI3 Amzn.com/bill WA,-31.42,
2024-05-24,AMZN Mktp US*748U43YI3 Amzn.com/bill WA,-87.49,
2024-05-24,AMZN Mktp US*488NT6L83 Amzn.com/bill WA,-3.09,
2024-05-24,AMZN Mktp US*ON71F88S3 Amzn.com/bill WA,-11.00,
2024-05-27,Amazon Kids+*G87VK7X73 888-802-3080 WA,-5.50,
2024-05-28,Amazon.com*TP3QS6S83 Amzn.com/bill WA,-14.99,
2024-05-29,Amazon.com*YQ65G8CK3 Amzn.com/bill WA,-16.74,
2024-05-30,Amazon Prime*QC3M28233 Amzn.com/bill WA,-153.18,
2024-06-03,AUTOMATIC PAYMENT - THANK YOU,1081.10,
2024-06-03,AMZN Mktp US*V04BJ6333 Amzn.com/bill WA,-192.85,
2024-06-04,AMZN Mktp US*I45R752S3 Amzn.com/bill WA,-15.42,
