date,description,amount,category
2023-01-07,LIL JONS RESTAURANT BELLEVUE WA,-46.52,
2023-01-10,GRUBHUB HOLDINGS INC. 877-585-1085 NY,-10.93,
2023-01-12,UBER TRIP HELP.UBER.COM CA,-8.12,
2023-01-12,UBER TRIP HELP.UBER.COM CA,-54.14,
2023-01-13,CHIPOTLE 3490 BELLEVUE WA,-15.08,
2023-01-14,SAMMAMISH CAFE SAMMAMISH WA,-68.55,
2023-01-19,SQ *MOLLY MOON BELLEVUE Bellevue WA,-13.76,
2023-01-20,TST* MONSOON - BELLEVUE BELLEVUE WA,-144.86,
2023-01-25,WIFIONBOARD ALASKA 877-350-0038 IL,-8.00,
2023-01-26,HILTON CABLE 55 SAN FRANCISCO CA,-4.89,
2023-01-26,HILTON CABLE 55 SAN FRANCISCO CA,-30.96,
2023-01-26,HILTON CABLE 55 SAN FRANCISCO CA,-48.28,
2023-01-27,HILTON CABLE 55 SAN FRANCISCO CA,-37.59,
2023-01-27,SQ *MARK'S EASTSIDE AIRPO Issaquah WA,-80.00,
2023-01-27,HILTON CABLE 55 SAN FRANCISCO CA,-4.89,
2023-01-27,HILTON CABLE 55 SAN FRANCISCO CA,-26.61,
2023-01-27,HILTON CABLE 55 SAN FRANCISCO CA,-4.89,
2023-01-27,WIFIONBOARD ALASKA 877-350-0038 IL,-8.00,
2023-01-27,SQ *GOTHAM ENTERPRISE SFO San Francisco CA,-5.24,
2023-01-28,UBER TRIP HELP.UBER.COM CA,-12.80,
2023-01-28,UBER TRIP HELP.UBER.COM CA,-17.96,
2023-01-28,UBER TRIP HELP.UBER.COM CA,-15.97,
2023-01-28,UBER TRIP HELP.UBER.COM CA,-42.46,
2023-01-28,HILTON PARC 55 S FRAN SAN FRANCISCO CA,-963.36,
2023-01-28,HILTON CABLE 55 SAN FRANCISCO CA,-18.98,
2023-01-28,SORABOL #3 SAN FRANCISCO CA,-14.89,
2023-02-03,AUTOMATIC PAYMENT - THANK YOU,1680.17,
2023-02-05,MACKY DIM SUM RESTAURANT ISSAQUAH WA,-55.20,
