date,description,amount,category
2023-04-13,MODERN EXPRESS TECH ABU DHABI AE,1.00,
2023-07-17,PCC - ISSAQUAH ISSAQUAH WA,-45.61,
2023-07-18,Asha Madhavan DDS 425-4093189 WA,-135.10,
2023-07-18,HOMEDEPOT.COM 800-430-3376 GA,-7.09,
2023-07-20,SNACK SODA VENDING BELLEVUE WA,-3.15,
2023-07-20,QFC #5824 ISSAQUAH WA,-111.73,
2023-07-21,YUXIN SUN HTTPSWWW.YUXI WA,-265.00,
2023-07-22,NYTimes*NYTimes 800-698-4637 NY,-20.00,
2023-07-22,RECREATION.GOV 877-444-6777 NM,-20.00,
2023-07-23,WOODLAND PARK ZOO 120-65482500 WA,-47.00,
2023-07-23,GRUBHUBGHPLUS GRUBHUB.COM NY,-10.94,
2023-07-24,GO AU PAIR PROGRAM FEE WWW.GOAUPAIR. UT,-4590.00,
2023-07-24,QFC #5824 ISSAQUAH WA,-41.99,
2023-07-24,SHELL OIL 57444035406 SAMMAMISH WA,-71.96,
2023-07-25,CALYPSA LLC 347-897-9299 FL,101.95,
2023-07-25,Peacock 1AE45 Premium 212-6640138 NY,-5.49,
2023-07-25,"SHEF, INC. SHEF.COM CA",-61.87,
2023-07-25,COMCAST CABLE COMM 800-COMCAST WA,-183.86,
2023-07-25,METROPOLITAN MARKET SAMMAMISH WA,-33.68,
2023-07-25,PP*Hannah D Hair SAMMAMISH WA,-120.00,
2023-07-26,QFC #5824 ISSAQUAH WA,-5.49,
2023-07-27,SQ *JUST POKE SAMMAMIS Sammamish WA,-20.24,
2023-07-27,RITE AID 05188 SAMMAMISH WA,-10.00,
2023-07-27,PCC - BELLEVUE BELLEVUE WA,-91.73,
2023-07-27,MED*SWEDISH MEDICAL GR 888-294-9333 WA,-20.00,
2023-07-28,YUXIN SUN HTTPSWWW.YUXI WA,-265.00,
2023-07-28,SAFEWAY #3006 ISSAQUAH WA,-65.97,
2023-07-29,FANDANGO 8668575191 CA,-48.00,
2023-07-29,ASIAN FAMILY MARKET BE BELLEVUE WA,-144.21,
2023-07-29,ERIN D THERAPY ERINDTHERAPY. WA,-175.00,
2023-07-30,QFC #5824 ISSAQUAH WA,-31.81,
2023-07-30,METROPOLITAN MARKET SAMMAMISH WA,-27.69,
2023-07-30,METROPOLITAN MARKET SAMMAMISH WA,-1.99,
