date,description,amount,category
2025-01-16,COSTCO WHSE #0110 ISSAQUAH WA,-52.65,
2025-01-17,SQ *ISSAQUAH COFFEE CO Issaquah WA,-7.92,
2025-01-17,SQ *ISSAQUAH COFFEE CO Issaquah WA,-4.44,
2025-01-17,SQ *ISSAQUAH COFFEE CO Issaquah WA,-4.44,
2025-01-18,76 - ICICLE QUICK STOP LEAVENWORTH WA,-49.66,
2025-01-18,76 - ICICLE QUICK STOP LEAVENWORTH WA,-9.98,
2025-01-21,QFC #5824 ISSAQUAH WA,-24.53,
2025-01-22,MSB ISSAQUAH SCHOOL DI 425-8375060 WA,-103.25,
2025-01-24,COSTCO WHSE #0110 ISSAQUAH WA,-239.44,
2025-01-25,RING STANDARD PLAN HTTPSRING.COM CA,-110.19,
2025-01-25,CHEVRON 0308073 SAMMAMISH WA,-41.79,
2025-01-26,"Viasat, Inc. 888-3397150 CA",-16.00,
2025-01-26,AMANDA PARK TRADING PO AMANDA PARK WA,-68.16,
2025-01-26,FORKS OUTFITTERS FORKS WA,-32.19,
2025-01-27,CIRCLE K # 09660 HOQUIAM WA,-28.33,
2025-01-28,COMCAST CABLE COMM 800-COMCAST WA,-48.35,
2025-01-28,NEW VISION EYECARE SAMMAMISH WA,-504.20,
2025-01-28,QFC #5824 ISSAQUAH WA,-39.01,
2025-01-30,CURRY AND WILLIAMS PLL 253-8332044 WA,-800.00,
2025-02-01,ASIAN FAMILY MARKET BE BELLEVUE WA,-115.09,
2025-02-01,STARLINK INTERNET 310-6828100 CA,-50.00,
2025-02-02,"Yu Ding, PsyD 4252868200 WA",-800.00,
2025-02-03,TRADER JOE S #160 SAMMAMISH WA,-45.08,
2025-02-04,D J*WSJ 800-568-7625 NJ,-4.41,
2025-02-06,IN *LAW OFFICES OF MAT 206-5220618 WA,-450.00,
2025-02-06,DROPBOX FAX ONE TIME HELLOSIGN.COM CA,-1.09,
2025-02-07,ASIAN FAMILY MARKET BE BELLEVUE WA,-106.50,
2025-02-08,76 - LAKE SAMMAMISH GA ISSAQUAH WA,-70.06,
2025-02-08,ACT*SEAYMCA-2063825000 206-3825000 WA,-154.00,
2025-02-08,ACURA OF BELLEVUE BELLEVUE WA,-236.06,
2025-02-09,QFC #5824 ISSAQUAH WA,-28.04,
2025-02-10,PAYMENT THANK YOU,5000.00,
2025-02-11,ACURA OF BELLEVUE BELLEVUE WA,-252.65,
2025-02-12,QFC #5824 ISSAQUAH WA,-96.46,
2025-02-12,MOD PIZZA SAMMAMISH SAMMAMISH WA,-26.86,
2025-02-13,MSB ISSAQUAH SCHOOL DI 425-8375060 WA,-103.25,
2025-02-15,SAFEWAY #0555 SAMMAMISH WA,-23.86,
2025-02-15,TRADER JOE S #160 SAMMAMISH WA,-44.37,
2025-02-18,INTEREST CHARGE ON PURCHASES,-173.73,
